week_start_date,search_term,category,avg_interest_score,region
2021-01-31,Estate Sales,Involuntary Supply,46,US
2021-01-31,Foreclosure Auctions,Distress Signal,93,US
2021-01-31,Home Insurance,Financial Friction,34,US
2021-01-31,Mortgage Assumption,Market Access,3,US
2021-02-07,Estate Sales,Involuntary Supply,44,US
2021-02-07,Foreclosure Auctions,Distress Signal,94,US
2021-02-07,Home Insurance,Financial Friction,35,US
2021-02-07,Mortgage Assumption,Market Access,3,US
2021-02-14,Estate Sales,Involuntary Supply,56,US
2021-02-14,Foreclosure Auctions,Distress Signal,98,US
2021-02-14,Home Insurance,Financial Friction,35,US
2021-02-14,Mortgage Assumption,Market Access,3,US
2021-02-21,Estate Sales,Involuntary Supply,57,US
2021-02-21,Foreclosure Auctions,Distress Signal,100,US
2021-02-21,Home Insurance,Financial Friction,33,US
2021-02-21,Mortgage Assumption,Market Access,7,US
2021-02-28,Estate Sales,Involuntary Supply,59,US
2021-02-28,Foreclosure Auctions,Distress Signal,96,US
2021-02-28,Home Insurance,Financial Friction,31,US
2021-02-28,Mortgage Assumption,Market Access,7,US
2021-03-07,Estate Sales,Involuntary Supply,57,US
2021-03-07,Foreclosure Auctions,Distress Signal,96,US
2021-03-07,Home Insurance,Financial Friction,32,US
2021-03-07,Mortgage Assumption,Market Access,5,US
2021-03-14,Estate Sales,Involuntary Supply,60,US
2021-03-14,Foreclosure Auctions,Distress Signal,95,US
2021-03-14,Home Insurance,Financial Friction,36,US
2021-03-14,Mortgage Assumption,Market Access,9,US
2021-03-21,Estate Sales,Involuntary Supply,52,US
2021-03-21,Foreclosure Auctions,Distress Signal,94,US
2021-03-21,Home Insurance,Financial Friction,33,US
2021-03-21,Mortgage Assumption,Market Access,8,US
2021-03-28,Estate Sales,Involuntary Supply,57,US
2021-03-28,Foreclosure Auctions,Distress Signal,97,US
2021-03-28,Home Insurance,Financial Friction,34,US
2021-03-28,Mortgage Assumption,Market Access,4,US
2021-04-04,Estate Sales,Involuntary Supply,69,US
2021-04-04,Foreclosure Auctions,Distress Signal,91,US
2021-04-04,Home Insurance,Financial Friction,33,US
2021-04-04,Mortgage Assumption,Market Access,6,US
2021-04-11,Estate Sales,Involuntary Supply,73,US
2021-04-11,Foreclosure Auctions,Distress Signal,91,US
2021-04-11,Home Insurance,Financial Friction,33,US
2021-04-11,Mortgage Assumption,Market Access,6,US
2021-04-18,Estate Sales,Involuntary Supply,63,US
2021-04-18,Foreclosure Auctions,Distress Signal,88,US
2021-04-18,Home Insurance,Financial Friction,33,US
2021-04-18,Mortgage Assumption,Market Access,7,US
2021-04-25,Estate Sales,Involuntary Supply,62,US
2021-04-25,Foreclosure Auctions,Distress Signal,93,US
2021-04-25,Home Insurance,Financial Friction,34,US
2021-04-25,Mortgage Assumption,Market Access,7,US
2021-05-02,Estate Sales,Involuntary Supply,62,US
2021-05-02,Foreclosure Auctions,Distress Signal,86,US
2021-05-02,Home Insurance,Financial Friction,32,US
2021-05-02,Mortgage Assumption,Market Access,6,US
2021-05-09,Estate Sales,Involuntary Supply,66,US
2021-05-09,Foreclosure Auctions,Distress Signal,84,US
2021-05-09,Home Insurance,Financial Friction,36,US
2021-05-09,Mortgage Assumption,Market Access,7,US
2021-05-16,Estate Sales,Involuntary Supply,61,US
2021-05-16,Foreclosure Auctions,Distress Signal,83,US
2021-05-16,Home Insurance,Financial Friction,33,US
2021-05-16,Mortgage Assumption,Market Access,6,US
2021-05-23,Estate Sales,Involuntary Supply,68,US
2021-05-23,Foreclosure Auctions,Distress Signal,85,US
2021-05-23,Home Insurance,Financial Friction,34,US
2021-05-23,Mortgage Assumption,Market Access,5,US
2021-05-30,Estate Sales,Involuntary Supply,68,US
2021-05-30,Foreclosure Auctions,Distress Signal,77,US
2021-05-30,Home Insurance,Financial Friction,34,US
2021-05-30,Mortgage Assumption,Market Access,6,US
2021-06-06,Estate Sales,Involuntary Supply,67,US
2021-06-06,Foreclosure Auctions,Distress Signal,81,US
2021-06-06,Home Insurance,Financial Friction,36,US
2021-06-06,Mortgage Assumption,Market Access,6,US
2021-06-13,Estate Sales,Involuntary Supply,72,US
2021-06-13,Foreclosure Auctions,Distress Signal,82,US
2021-06-13,Home Insurance,Financial Friction,35,US
2021-06-13,Mortgage Assumption,Market Access,4,US
2021-06-20,Estate Sales,Involuntary Supply,60,US
2021-06-20,Foreclosure Auctions,Distress Signal,84,US
2021-06-20,Home Insurance,Financial Friction,32,US
2021-06-20,Mortgage Assumption,Market Access,5,US
2021-06-27,Estate Sales,Involuntary Supply,69,US
2021-06-27,Foreclosure Auctions,Distress Signal,96,US
2021-06-27,Home Insurance,Financial Friction,28,US
2021-06-27,Mortgage Assumption,Market Access,4,US
2021-07-04,Estate Sales,Involuntary Supply,64,US
2021-07-04,Foreclosure Auctions,Distress Signal,83,US
2021-07-04,Home Insurance,Financial Friction,29,US
2021-07-04,Mortgage Assumption,Market Access,0,US
2021-07-11,Estate Sales,Involuntary Supply,71,US
2021-07-11,Foreclosure Auctions,Distress Signal,80,US
2021-07-11,Home Insurance,Financial Friction,32,US
2021-07-11,Mortgage Assumption,Market Access,4,US
2021-07-18,Estate Sales,Involuntary Supply,67,US
2021-07-18,Foreclosure Auctions,Distress Signal,91,US
2021-07-18,Home Insurance,Financial Friction,31,US
2021-07-18,Mortgage Assumption,Market Access,4,US
2021-07-25,Estate Sales,Involuntary Supply,62,US
2021-07-25,Foreclosure Auctions,Distress Signal,88,US
2021-07-25,Home Insurance,Financial Friction,28,US
2021-07-25,Mortgage Assumption,Market Access,3,US
2021-08-01,Estate Sales,Involuntary Supply,63,US
2021-08-01,Foreclosure Auctions,Distress Signal,80,US
2021-08-01,Home Insurance,Financial Friction,31,US
2021-08-01,Mortgage Assumption,Market Access,4,US
2021-08-08,Estate Sales,Involuntary Supply,69,US
2021-08-08,Foreclosure Auctions,Distress Signal,77,US
2021-08-08,Home Insurance,Financial Friction,33,US
2021-08-08,Mortgage Assumption,Market Access,4,US
2021-08-15,Estate Sales,Involuntary Supply,70,US
2021-08-15,Foreclosure Auctions,Distress Signal,77,US
2021-08-15,Home Insurance,Financial Friction,34,US
2021-08-15,Mortgage Assumption,Market Access,5,US
2021-08-22,Estate Sales,Involuntary Supply,51,US
2021-08-22,Foreclosure Auctions,Distress Signal,78,US
2021-08-22,Home Insurance,Financial Friction,36,US
2021-08-22,Mortgage Assumption,Market Access,6,US
2021-08-29,Estate Sales,Involuntary Supply,67,US
2021-08-29,Foreclosure Auctions,Distress Signal,71,US
2021-08-29,Home Insurance,Financial Friction,34,US
2021-08-29,Mortgage Assumption,Market Access,0,US
2021-09-05,Estate Sales,Involuntary Supply,59,US
2021-09-05,Foreclosure Auctions,Distress Signal,71,US
2021-09-05,Home Insurance,Financial Friction,39,US
2021-09-05,Mortgage Assumption,Market Access,6,US
2021-09-12,Estate Sales,Involuntary Supply,54,US
2021-09-12,Foreclosure Auctions,Distress Signal,72,US
2021-09-12,Home Insurance,Financial Friction,36,US
2021-09-12,Mortgage Assumption,Market Access,5,US
2021-09-19,Estate Sales,Involuntary Supply,50,US
2021-09-19,Foreclosure Auctions,Distress Signal,75,US
2021-09-19,Home Insurance,Financial Friction,36,US
2021-09-19,Mortgage Assumption,Market Access,4,US
2021-09-26,Estate Sales,Involuntary Supply,46,US
2021-09-26,Foreclosure Auctions,Distress Signal,74,US
2021-09-26,Home Insurance,Financial Friction,34,US
2021-09-26,Mortgage Assumption,Market Access,4,US
2021-10-03,Estate Sales,Involuntary Supply,60,US
2021-10-03,Foreclosure Auctions,Distress Signal,74,US
2021-10-03,Home Insurance,Financial Friction,30,US
2021-10-03,Mortgage Assumption,Market Access,6,US
2021-10-10,Estate Sales,Involuntary Supply,61,US
2021-10-10,Foreclosure Auctions,Distress Signal,70,US
2021-10-10,Home Insurance,Financial Friction,34,US
2021-10-10,Mortgage Assumption,Market Access,4,US
2021-10-17,Estate Sales,Involuntary Supply,59,US
2021-10-17,Foreclosure Auctions,Distress Signal,68,US
2021-10-17,Home Insurance,Financial Friction,31,US
2021-10-17,Mortgage Assumption,Market Access,5,US
2021-10-24,Estate Sales,Involuntary Supply,59,US
2021-10-24,Foreclosure Auctions,Distress Signal,72,US
2021-10-24,Home Insurance,Financial Friction,31,US
2021-10-24,Mortgage Assumption,Market Access,6,US
2021-10-31,Estate Sales,Involuntary Supply,64,US
2021-10-31,Foreclosure Auctions,Distress Signal,65,US
2021-10-31,Home Insurance,Financial Friction,33,US
2021-10-31,Mortgage Assumption,Market Access,5,US
2021-11-07,Estate Sales,Involuntary Supply,57,US
2021-11-07,Foreclosure Auctions,Distress Signal,64,US
2021-11-07,Home Insurance,Financial Friction,30,US
2021-11-07,Mortgage Assumption,Market Access,6,US
2021-11-14,Estate Sales,Involuntary Supply,38,US
2021-11-14,Foreclosure Auctions,Distress Signal,53,US
2021-11-14,Home Insurance,Financial Friction,28,US
2021-11-14,Mortgage Assumption,Market Access,4,US
2021-11-21,Estate Sales,Involuntary Supply,42,US
2021-11-21,Foreclosure Auctions,Distress Signal,79,US
2021-11-21,Home Insurance,Financial Friction,34,US
2021-11-21,Mortgage Assumption,Market Access,5,US
2021-11-28,Estate Sales,Involuntary Supply,41,US
2021-11-28,Foreclosure Auctions,Distress Signal,64,US
2021-11-28,Home Insurance,Financial Friction,30,US
2021-11-28,Mortgage Assumption,Market Access,5,US
2021-12-05,Estate Sales,Involuntary Supply,37,US
2021-12-05,Foreclosure Auctions,Distress Signal,67,US
2021-12-05,Home Insurance,Financial Friction,30,US
2021-12-05,Mortgage Assumption,Market Access,4,US
2021-12-12,Estate Sales,Involuntary Supply,24,US
2021-12-12,Foreclosure Auctions,Distress Signal,52,US
2021-12-12,Home Insurance,Financial Friction,30,US
2021-12-12,Mortgage Assumption,Market Access,3,US
2021-12-19,Estate Sales,Involuntary Supply,32,US
2021-12-19,Foreclosure Auctions,Distress Signal,71,US
2021-12-19,Home Insurance,Financial Friction,33,US
2021-12-19,Mortgage Assumption,Market Access,7,US
2021-12-26,Estate Sales,Involuntary Supply,42,US
2021-12-26,Foreclosure Auctions,Distress Signal,81,US
2021-12-26,Home Insurance,Financial Friction,41,US
2021-12-26,Mortgage Assumption,Market Access,0,US
2022-01-02,Estate Sales,Involuntary Supply,47,US
2022-01-02,Foreclosure Auctions,Distress Signal,79,US
2022-01-02,Home Insurance,Financial Friction,43,US
2022-01-02,Mortgage Assumption,Market Access,5,US
2022-01-09,Estate Sales,Involuntary Supply,51,US
2022-01-09,Foreclosure Auctions,Distress Signal,79,US
2022-01-09,Home Insurance,Financial Friction,39,US
2022-01-09,Mortgage Assumption,Market Access,6,US
2022-01-16,Estate Sales,Involuntary Supply,61,US
2022-01-16,Foreclosure Auctions,Distress Signal,90,US
2022-01-16,Home Insurance,Financial Friction,35,US
2022-01-16,Mortgage Assumption,Market Access,6,US
2022-01-23,Estate Sales,Involuntary Supply,56,US
2022-01-23,Foreclosure Auctions,Distress Signal,86,US
2022-01-23,Home Insurance,Financial Friction,36,US
2022-01-23,Mortgage Assumption,Market Access,5,US
2022-01-30,Estate Sales,Involuntary Supply,59,US
2022-01-30,Foreclosure Auctions,Distress Signal,90,US
2022-01-30,Home Insurance,Financial Friction,39,US
2022-01-30,Mortgage Assumption,Market Access,8,US
2022-02-06,Estate Sales,Involuntary Supply,59,US
2022-02-06,Foreclosure Auctions,Distress Signal,93,US
2022-02-06,Home Insurance,Financial Friction,35,US
2022-02-06,Mortgage Assumption,Market Access,6,US
2022-02-13,Estate Sales,Involuntary Supply,59,US
2022-02-13,Foreclosure Auctions,Distress Signal,90,US
2022-02-13,Home Insurance,Financial Friction,35,US
2022-02-13,Mortgage Assumption,Market Access,5,US
2022-02-20,Estate Sales,Involuntary Supply,49,US
2022-02-20,Foreclosure Auctions,Distress Signal,87,US
2022-02-20,Home Insurance,Financial Friction,37,US
2022-02-20,Mortgage Assumption,Market Access,6,US
2022-02-27,Estate Sales,Involuntary Supply,47,US
2022-02-27,Foreclosure Auctions,Distress Signal,88,US
2022-02-27,Home Insurance,Financial Friction,41,US
2022-02-27,Mortgage Assumption,Market Access,5,US
2022-03-06,Estate Sales,Involuntary Supply,51,US
2022-03-06,Foreclosure Auctions,Distress Signal,93,US
2022-03-06,Home Insurance,Financial Friction,39,US
2022-03-06,Mortgage Assumption,Market Access,5,US
2022-03-13,Estate Sales,Involuntary Supply,58,US
2022-03-13,Foreclosure Auctions,Distress Signal,92,US
2022-03-13,Home Insurance,Financial Friction,40,US
2022-03-13,Mortgage Assumption,Market Access,8,US
2022-03-20,Estate Sales,Involuntary Supply,52,US
2022-03-20,Foreclosure Auctions,Distress Signal,85,US
2022-03-20,Home Insurance,Financial Friction,38,US
2022-03-20,Mortgage Assumption,Market Access,7,US
2022-03-27,Estate Sales,Involuntary Supply,49,US
2022-03-27,Foreclosure Auctions,Distress Signal,85,US
2022-03-27,Home Insurance,Financial Friction,37,US
2022-03-27,Mortgage Assumption,Market Access,5,US
2022-04-03,Estate Sales,Involuntary Supply,50,US
2022-04-03,Foreclosure Auctions,Distress Signal,76,US
2022-04-03,Home Insurance,Financial Friction,35,US
2022-04-03,Mortgage Assumption,Market Access,5,US
2022-04-10,Estate Sales,Involuntary Supply,55,US
2022-04-10,Foreclosure Auctions,Distress Signal,82,US
2022-04-10,Home Insurance,Financial Friction,34,US
2022-04-10,Mortgage Assumption,Market Access,7,US
2022-04-17,Estate Sales,Involuntary Supply,48,US
2022-04-17,Foreclosure Auctions,Distress Signal,80,US
2022-04-17,Home Insurance,Financial Friction,35,US
2022-04-17,Mortgage Assumption,Market Access,7,US
2022-04-24,Estate Sales,Involuntary Supply,29,US
2022-04-24,Foreclosure Auctions,Distress Signal,81,US
2022-04-24,Home Insurance,Financial Friction,35,US
2022-04-24,Mortgage Assumption,Market Access,7,US
2022-05-01,Estate Sales,Involuntary Supply,30,US
2022-05-01,Foreclosure Auctions,Distress Signal,71,US
2022-05-01,Home Insurance,Financial Friction,35,US
2022-05-01,Mortgage Assumption,Market Access,6,US
2022-05-08,Estate Sales,Involuntary Supply,32,US
2022-05-08,Foreclosure Auctions,Distress Signal,67,US
2022-05-08,Home Insurance,Financial Friction,34,US
2022-05-08,Mortgage Assumption,Market Access,8,US
2022-05-15,Estate Sales,Involuntary Supply,33,US
2022-05-15,Foreclosure Auctions,Distress Signal,62,US
2022-05-15,Home Insurance,Financial Friction,35,US
2022-05-15,Mortgage Assumption,Market Access,7,US
2022-05-22,Estate Sales,Involuntary Supply,36,US
2022-05-22,Foreclosure Auctions,Distress Signal,67,US
2022-05-22,Home Insurance,Financial Friction,32,US
2022-05-22,Mortgage Assumption,Market Access,6,US
2022-05-29,Estate Sales,Involuntary Supply,59,US
2022-05-29,Foreclosure Auctions,Distress Signal,72,US
2022-05-29,Home Insurance,Financial Friction,33,US
2022-05-29,Mortgage Assumption,Market Access,6,US
2022-06-05,Estate Sales,Involuntary Supply,51,US
2022-06-05,Foreclosure Auctions,Distress Signal,72,US
2022-06-05,Home Insurance,Financial Friction,31,US
2022-06-05,Mortgage Assumption,Market Access,10,US
2022-06-12,Estate Sales,Involuntary Supply,56,US
2022-06-12,Foreclosure Auctions,Distress Signal,71,US
2022-06-12,Home Insurance,Financial Friction,33,US
2022-06-12,Mortgage Assumption,Market Access,11,US
2022-06-19,Estate Sales,Involuntary Supply,51,US
2022-06-19,Foreclosure Auctions,Distress Signal,71,US
2022-06-19,Home Insurance,Financial Friction,31,US
2022-06-19,Mortgage Assumption,Market Access,9,US
2022-06-26,Estate Sales,Involuntary Supply,55,US
2022-06-26,Foreclosure Auctions,Distress Signal,72,US
2022-06-26,Home Insurance,Financial Friction,31,US
2022-06-26,Mortgage Assumption,Market Access,8,US
2022-07-03,Estate Sales,Involuntary Supply,54,US
2022-07-03,Foreclosure Auctions,Distress Signal,78,US
2022-07-03,Home Insurance,Financial Friction,33,US
2022-07-03,Mortgage Assumption,Market Access,11,US
2022-07-10,Estate Sales,Involuntary Supply,58,US
2022-07-10,Foreclosure Auctions,Distress Signal,73,US
2022-07-10,Home Insurance,Financial Friction,34,US
2022-07-10,Mortgage Assumption,Market Access,9,US
2022-07-17,Estate Sales,Involuntary Supply,61,US
2022-07-17,Foreclosure Auctions,Distress Signal,74,US
2022-07-17,Home Insurance,Financial Friction,31,US
2022-07-17,Mortgage Assumption,Market Access,13,US
2022-07-24,Estate Sales,Involuntary Supply,65,US
2022-07-24,Foreclosure Auctions,Distress Signal,75,US
2022-07-24,Home Insurance,Financial Friction,34,US
2022-07-24,Mortgage Assumption,Market Access,7,US
2022-07-31,Estate Sales,Involuntary Supply,64,US
2022-07-31,Foreclosure Auctions,Distress Signal,69,US
2022-07-31,Home Insurance,Financial Friction,32,US
2022-07-31,Mortgage Assumption,Market Access,8,US
2022-08-07,Estate Sales,Involuntary Supply,71,US
2022-08-07,Foreclosure Auctions,Distress Signal,70,US
2022-08-07,Home Insurance,Financial Friction,32,US
2022-08-07,Mortgage Assumption,Market Access,7,US
2022-08-14,Estate Sales,Involuntary Supply,69,US
2022-08-14,Foreclosure Auctions,Distress Signal,70,US
2022-08-14,Home Insurance,Financial Friction,31,US
2022-08-14,Mortgage Assumption,Market Access,8,US
2022-08-21,Estate Sales,Involuntary Supply,63,US
2022-08-21,Foreclosure Auctions,Distress Signal,70,US
2022-08-21,Home Insurance,Financial Friction,30,US
2022-08-21,Mortgage Assumption,Market Access,9,US
2022-08-28,Estate Sales,Involuntary Supply,66,US
2022-08-28,Foreclosure Auctions,Distress Signal,66,US
2022-08-28,Home Insurance,Financial Friction,29,US
2022-08-28,Mortgage Assumption,Market Access,8,US
2022-09-04,Estate Sales,Involuntary Supply,61,US
2022-09-04,Foreclosure Auctions,Distress Signal,66,US
2022-09-04,Home Insurance,Financial Friction,28,US
2022-09-04,Mortgage Assumption,Market Access,7,US
2022-09-11,Estate Sales,Involuntary Supply,64,US
2022-09-11,Foreclosure Auctions,Distress Signal,66,US
2022-09-11,Home Insurance,Financial Friction,30,US
2022-09-11,Mortgage Assumption,Market Access,8,US
2022-09-18,Estate Sales,Involuntary Supply,57,US
2022-09-18,Foreclosure Auctions,Distress Signal,62,US
2022-09-18,Home Insurance,Financial Friction,31,US
2022-09-18,Mortgage Assumption,Market Access,13,US
2022-09-25,Estate Sales,Involuntary Supply,60,US
2022-09-25,Foreclosure Auctions,Distress Signal,64,US
2022-09-25,Home Insurance,Financial Friction,31,US
2022-09-25,Mortgage Assumption,Market Access,21,US
2022-10-02,Estate Sales,Involuntary Supply,61,US
2022-10-02,Foreclosure Auctions,Distress Signal,64,US
2022-10-02,Home Insurance,Financial Friction,29,US
2022-10-02,Mortgage Assumption,Market Access,25,US
2022-10-09,Estate Sales,Involuntary Supply,58,US
2022-10-09,Foreclosure Auctions,Distress Signal,60,US
2022-10-09,Home Insurance,Financial Friction,29,US
2022-10-09,Mortgage Assumption,Market Access,21,US
2022-10-16,Estate Sales,Involuntary Supply,60,US
